review_text,sentiment_score,length,verified_purchase,helpful_votes,is_spam
Click here to win a free iPhone! #890,0.4467925497712507,37,0,4,1
Does not match the description. #891,0.3672220988773667,36,0,3,0
"Cheap material, broke within a week. #892",0.6494134637947663,41,1,3,0
Does not match the description. #893,0.6885391334998548,36,0,2,0
Exceeded my expectations in every way. #894,0.7098001402130801,43,0,3,0
Does not match the description. #895,0.5660216020230304,36,0,4,0
Product stopped working after two days. #896,0.6217312677268266,44,1,3,0
Exceeded my expectations in every way. #897,0.4311026470091842,43,1,3,0
Exceeded my expectations in every way. #898,0.1847121612957821,43,1,2,0
Exceeded my expectations in every way. #899,0.17944982250022157,43,0,4,0
Earn $5000 working from home. Click now! #900,0.3296614351157503,45,0,4,1
"Five stars, will buy again! #901",0.45988543342165367,32,0,2,0
"Waste of money, avoid at all costs. #902",0.2433701909166619,40,1,6,0
"Cheap material, broke within a week. #903",0.2740257966934666,41,0,1,0
Does not match the description. #904,0.4243214614612396,36,0,3,0
"Terrible service, not recommended. #905",0.6728228784099947,39,1,3,0
Product stopped working after two days. #906,0.5668656507067049,44,0,4,0
"Five stars, will buy again! #907",0.3272947873910655,32,0,4,0
Fast delivery and amazing quality. #908,0.5092767115833087,39,0,6,0
"Five stars, will buy again! #909",0.23427128515454793,32,0,1,0
Click to claim your free rewards! #910,0.3272955733970574,38,1,4,1
"Waste of money, avoid at all costs. #911",0.16856472793968647,40,1,2,0
Exceeded my expectations in every way. #912,0.5857676595610563,43,1,4,0
Product stopped working after two days. #913,0.4434385469775747,44,0,5,0
Does not match the description. #914,0.46845551098601984,36,0,4,0
"Waste of money, avoid at all costs. #915",0.66118742489737,40,1,2,0
"Five stars, will buy again! #916",0.30054975310858145,32,0,5,0
Does not match the description. #917,0.5933498468240574,36,1,2,0
Absolutely love this product! #918,0.896984198830765,34,1,5,0
Product stopped working after two days. #919,0.3035772248171264,44,0,1,0
Get followers instantly! Click here! #920,0.18739621974071002,41,1,2,1
Absolutely love this product! #921,0.24843188879893602,34,1,4,0
Does not match the description. #922,0.5777170578065206,36,1,2,0
Does not match the description. #923,0.8492584401320182,36,1,3,0
Fast delivery and amazing quality. #924,0.8410658065795219,39,1,1,0
"Five stars, will buy again! #925",0.6689811845243417,32,1,4,0
Product stopped working after two days. #926,0.6758593051358864,44,0,1,0
"Cheap material, broke within a week. #927",0.5929113802974301,41,1,2,0
"Five stars, will buy again! #928",0.645019945739882,32,1,0,0
Exceeded my expectations in every way. #929,0.5607515898201854,43,0,1,0
"Limited time deal, don’t miss out! #930",0.3400471744424203,39,0,3,1
Does not match the description. #931,0.8426876018101145,36,1,4,0
"Cheap material, broke within a week. #932",0.767086345793917,41,0,0,0
Absolutely love this product! #933,0.34460203314988347,34,0,8,0
"Five stars, will buy again! #934",0.6296958653394492,32,1,3,0
Fast delivery and amazing quality. #935,0.7922484454492389,39,0,3,0
"Five stars, will buy again! #936",0.5837360257728608,32,1,3,0
"Five stars, will buy again! #937",0.4589285552242371,32,1,1,0
Fast delivery and amazing quality. #938,0.7859461452384704,39,1,4,0
"Cheap material, broke within a week. #939",0.5510680200181861,41,1,3,0
Click to claim your free rewards! #940,0.374424492195895,38,0,3,1
"Five stars, will buy again! #941",0.2699662319666415,32,1,3,0
Customer support was very helpful. #942,0.0,39,0,3,0
Absolutely love this product! #943,0.894624933157308,34,0,2,0
Product stopped working after two days. #944,0.3326296873025212,44,1,2,0
Absolutely love this product! #945,0.6927889698159335,34,1,3,0
"Cheap material, broke within a week. #946",0.31592191443287343,41,0,3,0
"Waste of money, avoid at all costs. #947",0.5333919228791587,40,1,5,0
"Five stars, will buy again! #948",0.5899456951012223,32,1,1,0
Exceeded my expectations in every way. #949,0.2521743952195463,43,1,1,0
Earn $5000 working from home. Click now! #950,0.6914073660272446,45,0,3,1
Customer support was very helpful. #951,0.46035241206948746,39,0,2,0
Product stopped working after two days. #952,0.6105289428932617,44,0,4,0
"Five stars, will buy again! #953",0.7909036471202648,32,0,3,0
"Waste of money, avoid at all costs. #954",0.6479245933488165,40,1,3,0
Customer support was very helpful. #955,0.4810346021906002,39,1,1,0
Product stopped working after two days. #956,0.8888097351375803,44,0,2,0
"Five stars, will buy again! #957",0.49106973977427537,32,0,5,0
"Five stars, will buy again! #958",0.5186265914784651,32,0,2,0
Absolutely love this product! #959,0.46727491024538254,34,0,3,0
"Act fast, limited time scam offer! #960",0.2548794098088416,39,0,2,1
"Terrible service, not recommended. #961",0.23284280752302705,39,1,3,0
Does not match the description. #962,0.3891595090094842,36,0,1,0
Absolutely love this product! #963,0.29725336928696766,34,0,4,0
"Cheap material, broke within a week. #964",0.44446596058273874,41,1,2,0
Does not match the description. #965,0.6652323664018587,36,1,3,0
"Terrible service, not recommended. #966",0.41818628273532493,39,1,1,0
"Waste of money, avoid at all costs. #967",0.5439924199630326,40,0,1,0
Product stopped working after two days. #968,0.3988187329138577,44,1,1,0
Customer support was very helpful. #969,1.0,39,0,3,0
Subscribe now and get rich quick! #970,0.801646986316235,38,0,0,1
Customer support was very helpful. #971,0.4504785704164308,39,1,2,0
Product stopped working after two days. #972,0.5544398519507582,44,0,2,0
"Five stars, will buy again! #973",0.23192316298073667,32,0,3,0
"Terrible service, not recommended. #974",0.4571186630502483,39,1,5,0
"Waste of money, avoid at all costs. #975",0.3799237218975328,40,1,3,0
Product stopped working after two days. #976,0.6485780659082347,44,1,5,0
Absolutely love this product! #977,0.313937685770867,34,1,5,0
"Waste of money, avoid at all costs. #978",0.8315481100053919,40,1,1,0
Customer support was very helpful. #979,0.4869143811155625,39,1,5,0
Earn $5000 working from home. Click now! #980,0.326116913689478,45,1,3,1
Customer support was very helpful. #981,0.5064317239130364,39,1,0,0
Absolutely love this product! #982,0.6473550817806335,34,1,4,0
Does not match the description. #983,0.6040803525470715,36,1,2,0
Exceeded my expectations in every way. #984,0.5313147497993473,43,0,6,0
Exceeded my expectations in every way. #985,0.6755262942520535,43,0,1,0
Exceeded my expectations in every way. #986,0.6632980685151861,43,0,2,0
"Terrible service, not recommended. #987",0.6642964878343273,39,1,1,0
"Waste of money, avoid at all costs. #988",0.4448658499016571,40,0,2,0
Product stopped working after two days. #989,0.44347494409039767,44,0,4,0
Click here to win a free iPhone! #990,0.4585312346928008,37,0,5,1
"Waste of money, avoid at all costs. #991",0.40118714282792917,40,0,1,0
Customer support was very helpful. #992,0.521134945056168,39,0,6,0
"Terrible service, not recommended. #993",0.4988754831147479,39,1,7,0
"Terrible service, not recommended. #994",0.8310136683652988,39,1,2,0
Product stopped working after two days. #995,0.3990369269802606,44,1,2,0
"Terrible service, not recommended. #996",0.3026584628571516,39,0,6,0
Absolutely love this product! #997,0.6291469894168543,34,0,4,0
"Terrible service, not recommended. #998",0.5143044088555561,39,1,5,0
"Waste of money, avoid at all costs. #999",0.3627311426702048,40,1,2,0
